 unique_abandoned_mine: "Abandoned Mine"
 unique_nevazars_tomb: "Nevazars Tomb"
 unique_nevazars_tomb_desc: ""
 unique_niluloni: "Niluloni"
 unique_niluloni_desc: ""
 unique_nomad_settlement: "Nomad Settlement"
 unique_nomad_settlement_desc: ""
 unique_nordinbad: "Nordinbad"
 unique_nordinbad_desc: ""
 unique_northern_mountains: "Northern Mountains"
 unique_northern_mountains_desc: ""
 unique_nothros: "Nothros"
 unique_nothros_desc: ""
 unique_numenorean_port: "Numenorean Port"
 unique_numenorean_port_desc: ""
 unique_numenorean_town: "Numenorean Town"
 unique_numenorean_town_desc: ""
 unique_nurn: "Nurn"
 unique_nurn_desc: ""
 unique_nurnen_settlement: "Nurnen Settlement"
 unique_nurnen_settlement_desc: ""
 unique_old_forest: "Old Forest"
 unique_old_forest_desc: ""
 unique_orc_fortress: "Orc Fortress"
 unique_orc_fortress_desc: ""
 unique_orc_mine: "Orc Mine"
 unique_orc_mine_desc: ""
 unique_osgilliath: "Osgilliath"
 unique_osgilliath_desc: ""
 unique_ost_in_edhil: "Ost In Edhil"
 unique_ost_in_edhil_desc: ""
 unique_ostigurth: "Ostigurth"
 unique_ostigurth_desc: ""
 unique_palisor_steppes: "Palisor Steppes"
 unique_palisor_steppes_desc: ""
 unique_parth_anduin: "Parth Anduin"
 unique_parth_anduin_desc: ""
 unique_parth_galen: "Parth Galen"
 unique_parth_galen_desc: ""
 unique_pass: "Pass"
 unique_pass_desc: ""
 unique_path_of_dead: "Path Of Dead"
 unique_path_of_dead_desc: ""
 unique_pelargir: "Pelargir"
 unique_pelargir_desc: ""
 unique_pelennor: "Pelennor"
 unique_pelennor_desc: ""
 unique_pinnath_gelin: "Pinnath Gelin"
 unique_pinnath_gelin_desc: ""
 unique_pinnath_tereg: "Pinnath Tereg"
 unique_pinnath_tereg_desc: ""
 unique_rast_arnor: "Rast Arnor"
 unique_rast_arnor_desc: ""
 unique_ravenhill: "Ravenhill"
 unique_ravenhill_desc: ""
 unique_relerindu: "Relerindu"
 unique_relerindu_desc: ""
 unique_rhosgobel: "Rhosgobel"
 unique_rhosgobel_desc: ""
 unique_rhovanion_burg: "Rhovanion Burg"
 unique_rhovanion_burg_desc: ""
 unique_rhovanion_town: "Rhovanion Town"
 unique_rhovanion_town_desc: ""
 unique_rhudaur: "Rhudaur"
 unique_rhudaur_desc: ""
 unique_rhudaur_highlands: "Rhudaur Highlands"
 unique_rhudaur_highlands_desc: ""
 unique_rivendell: "Rivendell"
 unique_rivendell_desc: ""
 unique_rohan: "Rohan"
 unique_rohan_desc: ""
 unique_rohan_town: "Rohan Town"
 unique_rohan_town_desc: ""
 unique_sarn_ford: "Sarn Ford"
 unique_sarn_ford_desc: ""
 unique_sarn_gebir: "Sarn Gebir"
 unique_sarn_gebir_desc: ""
 unique_shelob_lair: "Shelob Lair"
 unique_shelob_lair_desc: ""
 unique_shire: "Shire"
 unique_shire_desc: ""
 unique_south_eastern_mountains: "South Eastern Mountains"
 unique_south_eastern_mountains_desc: ""
 unique_thalls: "Thalls"
 unique_thalls_desc: ""
 unique_tharbad: "Tharbad"
 unique_tharbad_desc: ""
 unique_the_marish: "The Marish"
 unique_the_marish_desc: ""
 unique_tir_doll: "Tir Doll"
 unique_tir_doll_desc: ""
 unique_tom_bombadil: "Tom Bombadil"
 unique_tom_bombadil_desc: ""
 unique_tomb: "Tomb"
 unique_tomb_desc: ""
 unique_trollshaws: "Trollshaws"
 unique_trollshaws_desc: ""
 unique_tuckland: "Tuckland"
 unique_tuckland_desc: ""
 unique_tumnogoth_iaur: "Tumnogoth Iaur"
 unique_tumnogoth_iaur_desc: ""
 unique_tunnels: "Tunnels"
 unique_tunnels_desc: ""
 unique_tyrn_gorthad: "Tyrn Gorthad"
 unique_tyrn_gorthad_desc: ""
 unique_umbar: "Umbar"
 unique_umbar_desc: ""
 unique_undeeps: "Undeeps"
 unique_undeeps_desc: ""
 unique_upper_anduin_vales: "Upper Anduin Vales"
 unique_upper_anduin_vales_desc: ""
 unique_volcano: "Volcano"
 unique_volcano_desc: ""
 unique_waymeet: "Waymeet"
 unique_waymeet_desc: ""
 unique_westfold: "Westfold"
 unique_westfold_desc: ""
 unique_withered_heath: "Withered Heath"
 unique_withered_heath_desc: ""
 unique_wold: "Wold"
 unique_wold_desc: ""
 unique_wood_elven_town: "Wood Elven Town"
 unique_wood_elven_town_desc: ""
 unique_woody_end: "Woody End"
 unique_woody_end_desc: ""
 unique_xyunai: "Xyunai"
 unique_xyunai_desc: ""
 unique_zagh_kala: "Zagh Kala"
 unique_zagh_kala_desc: ""
 unique_himring: "Himring"
 unique_himring_desc: ""
